sinus results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|     100     |          85          |            54           | 2.439492713252056e-05  |
|     100     |          86          |            52           |  8.13360061776569e-05  |
|     100     |          87          |            50           | 5.130928083385555e-05  |
|     100     |          88          |            54           | 7.452745601532751e-05  |
|     100     |          89          |            48           | 7.104186721496042e-05  |
|     100     |          90          |            56           | 6.555883725989364e-05  |
|     100     |          91          |            56           |  8.26950306362928e-05  |
|     100     |          92          |            54           | 9.960630006433657e-05  |
|     100     |          93          |            60           | 7.303033986383323e-05  |
|     100     |          94          |            48           |  8.12408093769923e-05  |
|     100     |          95          |            62           | 6.589313877669589e-05  |
|     100     |          96          |            58           | 8.574389849080877e-05  |
|     110     |          36          |            26           |  2.5692415137335e-05   |
|     110     |          37          |            24           | 5.601784249248597e-05  |
|     110     |          38          |            24           | 8.792440855154293e-05  |
|     110     |          39          |            28           | 3.8935564321607163e-05 |
|     110     |          40          |            26           | 6.780044045517908e-05  |
|     110     |          41          |            26           | 9.422429008416193e-05  |
|     110     |          42          |            28           | 5.2890826656271095e-05 |
|     110     |          43          |            28           | 2.6308561931420726e-05 |
|     110     |          44          |            26           | 6.334448053033255e-05  |
|     110     |          45          |            26           | 8.404149035634578e-05  |
|     110     |          46          |            28           | 9.990672190141048e-05  |
|     110     |          47          |            32           | 1.6695789177179066e-05 |
|     110     |          48          |            32           | 3.2107291442873276e-05 |
|     110     |          49          |            30           | 5.455596368686422e-05  |
|     110     |          50          |            30           | 7.628653595835821e-05  |
|     110     |          51          |            30           |  9.4338121438442e-05   |
|     110     |          52          |            36           | 5.3811035588768874e-05 |
|     110     |          53          |            36           | 7.764122679432273e-05  |
|     110     |          54          |            36           | 2.2106901199303586e-05 |
|     110     |          55          |            32           | 9.653643690400795e-05  |
|     110     |          56          |            32           | 8.916435249428645e-05  |
|     110     |          57          |            38           | 2.5180233106880667e-05 |
|     110     |          58          |            38           |  7.47323550879253e-05  |
|     110     |          59          |            42           | 4.511302183951571e-05  |
|     110     |          60          |            36           | 6.291609622188776e-05  |
|     110     |          61          |            36           | 5.4415362206183815e-05 |
|     110     |          62          |            36           | 7.992071316453853e-05  |
|     110     |          63          |            38           | 4.690516999039662e-05  |
|     110     |          64          |            42           | 9.673128121467922e-05  |
|     110     |          65          |            36           | 7.423899271328734e-05  |
|     110     |          66          |            38           | 6.825283523330514e-05  |
|     110     |          67          |            38           |  6.91730554938097e-05  |
|     110     |          68          |            42           | 4.3833638993850954e-05 |
|     110     |          69          |            38           | 9.699209182312263e-05  |
|     110     |          70          |            46           | 6.273331609230048e-05  |
|     110     |          71          |            44           | 8.339778985400059e-05  |
|     110     |          72          |            40           | 6.853074418977645e-05  |
|     110     |          73          |            44           | 4.5026248123636314e-05 |
|     110     |          74          |            44           |  9.26182609947146e-05  |
|     110     |          75          |            46           | 3.9177647260968396e-05 |
|     110     |          76          |            42           | 9.775444423032464e-05  |
|     110     |          77          |            44           | 6.772108363328755e-05  |
|     110     |          78          |            48           | 4.5849854935720025e-05 |
|     110     |          79          |            44           | 5.7238206968991814e-05 |
|     110     |          80          |            48           | 4.742193682394369e-05  |
|     110     |          81          |            44           | 9.434369750227489e-05  |
|     110     |          82          |            46           | 6.682105624267187e-05  |
