sinus plus x results
+-------------+----------------------+-------------------------+------------------------+
| Num samples | Initial num of knots | Best num interior knots |       Tolerance        |
|      90     |          44          |            26           | 0.0008367193842671039  |
|      90     |          45          |            28           |  0.000464391660808805  |
|      90     |          46          |            26           | 0.0008382167250005068  |
|      90     |          47          |            28           | 0.0004078035685897152  |
|      90     |          48          |            30           | 0.0006550344389031348  |
|      90     |          49          |            26           |  0.00066105518704207   |
|      90     |          50          |            26           | 0.0007235976027232249  |
|      90     |          51          |            32           | 0.00030386365839119023 |
|      90     |          52          |            34           | 0.0003018046000082819  |
|      90     |          53          |            30           | 0.0007020599282412388  |
|      90     |          54          |            30           | 0.00045394848895252693 |
|      90     |          55          |            22           | 0.0009882952888893293  |
|      90     |          56          |            32           | 0.0005568498870556216  |
|      90     |          57          |            28           | 0.0004990508205312549  |
|      90     |          58          |            26           | 0.0008465336157302827  |
|      90     |          59          |            38           | 0.00038760663613301993 |
|      90     |          60          |            28           | 0.00047606090274210366 |
|      90     |          61          |            26           | 0.0009121609634115124  |
|      90     |          62          |            34           |  0.000601838970575308  |
|      90     |          63          |            34           | 0.0007991299768068671  |
|      90     |          64          |            28           | 0.0008360038736344721  |
|      90     |          65          |            32           | 0.0009138919528949296  |
|      90     |          66          |            34           | 0.0009496847816412579  |
|      90     |          67          |            34           | 0.00046683037852979226 |
|      90     |          68          |            34           | 0.0008273030906971179  |
|      90     |          69          |            36           | 0.0006408476533574792  |
|      90     |          70          |            36           | 0.0007865069460000207  |
|      90     |          71          |            32           | 0.0007553339636008349  |
|      90     |          72          |            38           | 0.0004567294821766765  |
|      90     |          73          |            32           | 0.0008447124194084221  |
|      90     |          74          |            40           | 0.0002606755270069261  |
|      90     |          75          |            36           | 0.0007349343399114527  |
|      90     |          76          |            36           | 0.0007933287286012725  |
|      90     |          77          |            38           | 0.0006502288007332879  |
|      90     |          78          |            42           | 0.0005534699409579513  |
|      90     |          79          |            36           | 0.0009035845442055823  |
|      90     |          80          |            38           | 0.0007686588221496038  |
|      90     |          81          |            40           | 0.0005300228754948622  |
|      90     |          82          |            36           | 0.0008582102636163214  |
|      90     |          83          |            32           |  0.000829802761623144  |
|      90     |          84          |            42           | 0.0006052229854662805  |
|      90     |          85          |            42           | 0.0009650473022539963  |
|      90     |          86          |            44           | 0.0005655278050031853  |
|     100     |          33          |            22           | 0.0009649478910047637  |
|     100     |          34          |            20           |  0.000833595283143973  |
|     100     |          35          |            22           | 0.00037655409641423887 |
|     100     |          36          |            20           | 0.0009467614200970864  |
|     100     |          37          |            22           | 0.0006785623604551594  |
|     100     |          38          |            22           | 0.0009700441460975817  |
|     100     |          39          |            26           | 0.00018963102517099983 |
|     100     |          40          |            24           | 0.0006396271920721119  |
|     100     |          41          |            24           | 0.0007542492559065028  |
|     100     |          42          |            26           | 0.0005482766295408226  |
|     100     |          43          |            24           |  0.000603444031777034  |
|     100     |          44          |            28           | 0.00041824514419297465 |
|     100     |          45          |            22           | 0.0009610255422762837  |
|     100     |          46          |            26           | 0.0008338552058995141  |
|     100     |          47          |            28           | 0.0004065238232286994  |
|     100     |          48          |            30           | 0.0004971774868199885  |
|     100     |          49          |            30           |  0.000630313240394309  |
|     100     |          50          |            28           | 0.0007230604286145859  |
|     100     |          51          |            28           | 0.0009081289321190011  |
|     100     |          52          |            30           | 0.0007555995458192744  |
|     100     |          53          |            30           |  0.000707245128117151  |
|     100     |          54          |            32           | 0.0004539708426177791  |
|     100     |          55          |            30           |  0.000813371162128318  |
|     100     |          56          |            26           | 0.0008966803053316319  |
|     100     |          57          |            32           | 0.0007853108596740377  |
|     100     |          58          |            26           | 0.0008527145975028017  |
|     100     |          59          |            32           | 0.0005533881447510325  |
|     100     |          60          |            32           | 0.0006421065615029864  |
|     100     |          61          |            34           | 0.0003525189371279547  |
|     100     |          62          |            28           | 0.0005808389628244592  |
|     100     |          63          |            32           | 0.0007054281012173202  |
|     100     |          64          |            30           | 0.0007386330045531242  |
|     100     |          65          |            28           | 0.0008553948000291633  |
|     100     |          66          |            30           | 0.0009498060267763009  |
|     100     |          67          |            34           | 0.0005813023346832313  |
|     100     |          68          |            30           | 0.0008129399005298854  |
|     100     |          69          |            32           | 0.0006219296602462121  |
|     100     |          70          |            32           |  0.00076578967574914   |
|     100     |          71          |            32           | 0.0008185702339547074  |
|     100     |          72          |            34           | 0.0009973583079477821  |
|     100     |          73          |            40           | 0.0003821163824040408  |
|     100     |          74          |            34           | 0.0006118826155141477  |
|     100     |          75          |            34           | 0.0007368880918194876  |
|     100     |          76          |            32           | 0.0008268161621419745  |
|     100     |          77          |            32           | 0.0007212669644310887  |
|     100     |          78          |            36           | 0.0009266764868259836  |
|     100     |          79          |            34           | 0.0009051625379437045  |
|     100     |          80          |            34           | 0.0007646592530854424  |
|     100     |          81          |            38           | 0.0005431113552012423  |
|     100     |          82          |            36           | 0.0008658089702346938  |
|     100     |          83          |            36           | 0.0008938821393619234  |
|     100     |          84          |            40           | 0.0006030075497698295  |
|     100     |          85          |            34           | 0.0008329579862390579  |
|     100     |          86          |            40           | 0.0007394193445915409  |
|     100     |          87          |            40           | 0.0007349155837164112  |
|     100     |          88          |            36           | 0.0009413340214579069  |
|     100     |          89          |            44           | 0.00045450315472184144 |
|     100     |          90          |            40           | 0.0007953719766397027  |
|     100     |          91          |            36           | 0.0008434145651563529  |
|     100     |          92          |            38           | 0.0009508804438204121  |
|     100     |          93          |            42           | 0.0005869411640664346  |
|     100     |          94          |            48           |  0.000508988745748562  |
|     100     |          95          |            40           |  0.000895232789674516  |
|     100     |          96          |            42           | 0.0007304896801682004  |
|     110     |          36          |            20           |  0.000945775521834058  |
|     110     |          37          |            22           | 0.0006812500393591492  |
|     110     |          38          |            22           | 0.0009705566225700624  |
|     110     |          39          |            24           | 0.0009584133583706578  |
|     110     |          40          |            24           |  0.000638444550127959  |
